# Ocean tidal loading corrections for the center-of-mass motion
# From the web page of Hans-Georg Scherneck at Onsala Space Observatory
# (http://holt.oso.chalmers.se/loading/CMC/)
# Z X Y in-phase and cross-phase coefficients for 11 tidal components in meters
# Values to be ADDED to the joint center of mass to put the tides into a solid-Earth fixed frame
# Read by subroutine /gamit/lib/otl_cmc.f
# Format: (a3,6x,a8,t42,3(2x,2e12.4))
#
# The following ocean loading (OL) models are used by the respective
# analysis centers for their original and operational submissions:
# com: FES2004 
# emr: FES2004 
# esa: FES2004 
# gfz: NONE, FES2004 
# grg: ------, FES2004, FES2012 
# igr: FES2004 
# igs: FES2004 
# jpl: FES2002, FES2004, GOT4.8AC
# mit: FES2004, FES2004E
# ngs: FES2004 
# qzf: FES2004 
# sio: FES2004 
# tum: FES2004 
# wum: FES2004 
#
# The following ocean loading (OL) models are used for repro1:
# co1: FES2004 
# em1: FES2004 
# es1: FES2004 
# gf1: FES2004 
# jp1: FES2004 
# mi1: FES2004 
# ng1: FES2004 
# si1: FES2004
# ul1: FES2004 
# ig1: FES2004 
#
# The following ocean loading (OL) models are used for repro2:
# em2: FES2004 
# es2: FES2004 
# gf2: FES2004 
# gr2: FES2012 
# gt2: FES2004 
# jp2: GOT4.8AC
# mi2: FES2004E
# si2: FES2004 
# ul2: FES2004 
# ig2: NONE, FES2004 
#
#                                            in-phase Z  out-Z           in-X       out-X          in-Y       out-Y 
MODEL AG06
Ssa  NCDF_FES94.1                           -1.5858E-04  6.2442E-07    2.2786E-04  3.4451E-05   -2.4901E-05  1.0291E-06
MODEL FES95.2
M2   NCDF_FES95.2                           -1.2558E-03 -1.5370E-03   -8.8950E-04  1.4499E-03    1.0461E-03 -2.5944E-04
S2   NCDF_FES95.2                           -5.4116E-04 -8.2357E-04   -5.7859E-04  2.0562E-04   -4.3382E-05  2.7812E-04
N2   NCDF_FES95.2                           -4.9812E-04 -3.4061E-04   -8.8618E-05  3.3900E-04    2.8902E-04 -1.7264E-04
K2   NCDF_FES95.2                           -8.7864E-05 -2.8788E-04   -1.1796E-04 -1.1004E-04   -5.5827E-05 -3.1078E-05
K1   NCDF_FES95.2                           -1.1646E-03  4.5469E-03   -2.1816E-03 -1.2236E-03   -7.0681E-04 -1.8069E-03
O1   NCDF_FES95.2                           -3.4121E-04  3.0054E-03   -1.5433E-03 -1.4190E-05   -7.4697E-04 -7.4545E-04
P1   NCDF_FES95.2                           -3.3030E-04  1.4522E-03   -7.3499E-04 -3.0946E-04   -2.0812E-04 -6.2165E-04
Q1   NCDF_FES95.2                           -1.7607E-04  7.3425E-04   -2.3616E-04 -1.9260E-04   -3.0964E-04  9.0273E-05
Mf   NCDF_FES95.2                           -4.1085E-04 -9.7309E-06   -9.4686E-05  4.1078E-04   -1.2121E-04  9.2463E-05
Mm   NCDF_FES95.2                           -2.4701E-04  1.4906E-05   -5.2165E-05  1.0967E-04   -9.9642E-06  3.0009E-06
Ssa  NCDF_FES95.2                           -1.5858E-04  6.2442E-07    2.2786E-04  3.4451E-05   -2.4901E-05  1.0291E-06
MODEL FES98
M2   NCDF_FES98                             -1.1899E-03 -2.0172E-03   -1.0555E-03  9.7126E-04    1.7253E-03  6.3596E-08
S2   NCDF_FES98                             -1.0456E-04 -7.0533E-04   -6.8852E-04 -3.1773E-04    4.4224E-05  4.1825E-04
N2   NCDF_FES98                             -4.4096E-04 -3.7872E-04   -2.6038E-04  7.4004E-05    3.6024E-04 -1.3455E-04
K2   NCDF_FES98                             -5.5736E-05 -1.6994E-04   -1.9789E-04 -5.6198E-05   -9.4878E-06  8.6206E-05
K1   NCDF_FES98                             -1.5680E-03  5.3340E-03   -2.0386E-03 -1.2857E-03   -8.7577E-04 -1.2858E-03
O1   NCDF_FES98                             -3.0240E-04  3.4617E-03   -1.1947E-03 -4.8180E-04   -9.9314E-04 -1.7323E-04
P1   NCDF_FES98                             -4.9304E-04  1.7591E-03   -6.7539E-04 -4.0647E-04   -3.4368E-04 -3.6380E-04
Q1   NCDF_FES98                              6.8337E-06  6.1761E-04   -1.7150E-04 -7.9531E-05   -4.4819E-05 -1.3260E-04
Mf   NCDF_FES98                             -4.4986E-04 -1.5122E-04   -2.0198E-04  3.2648E-04   -3.5298E-04  6.1892E-05
Mm   NCDF_FES98                              1.0371E-04  3.5474E-05    1.0378E-05  1.9164E-04    5.5329E-05 -4.0559E-05
Ssa  NCDF_FES98                             -1.6630E-04  9.8135E-07    1.3457E-04  3.4801E-05   -1.3803E-05  1.0070E-06
MODEL FES99
M2   NCDF_FES99                             -1.4373E-03 -1.9633E-03   -1.2839E-03  8.9797E-04    1.5056E-03 -2.5409E-04
S2   NCDF_FES99                             -9.1398E-05 -7.4623E-04   -7.0980E-04 -2.6509E-04    7.0500E-05  4.3213E-04
N2   NCDF_FES99                             -4.3318E-04 -3.3391E-04   -2.1294E-04  8.6863E-05    2.6245E-04 -1.2279E-04
K2   NCDF_FES99                             -8.8352E-05 -2.1649E-04   -1.8559E-04 -7.6823E-05   -1.9615E-06  8.6564E-05
K1   NCDF_FES99                             -1.0416E-03  4.7447E-03   -2.1027E-03 -1.0189E-03   -8.2761E-04 -1.6848E-03
O1   NCDF_FES99                             -2.0438E-04  3.1476E-03   -1.4193E-03 -3.3097E-04   -8.7478E-04 -5.4116E-04
P1   NCDF_FES99                             -3.2314E-04  1.5652E-03   -6.8965E-04 -3.2807E-04   -3.0573E-04 -5.3710E-04
Q1   NCDF_FES99                             -1.5015E-05  5.7529E-04   -2.8137E-04 -1.7796E-05   -9.5826E-05 -4.9355E-05
